                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0334,                 2.1777,                 1.1309,                0.97367,                0.85678,                0.95467,                0.69695,                 1.0203,                 1.7077,                  1.031,             0.00038341,             0.00038341,             0.00038341
                      2,                0.94935,                 1.2657,                 1.0756,                0.93589,                0.82175,                0.88371,                0.64662,                 1.0345,                 1.3134,                 1.0299,             0.00075763,             0.00075763,             0.00075763
                      3,                0.92641,                 1.1644,                 1.0826,                0.90977,                0.87522,                0.93527,                0.66946,                 1.0438,                 1.4745,                 1.0773,              0.0011055,              0.0011055,              0.0011055
                      4,                0.91787,                 1.1252,                 1.0707,                0.93149,                0.91444,                0.96005,                0.69944,                0.98804,                 1.2748,                 1.0044,              0.0014269,              0.0014269,              0.0014269
                      5,                 0.9072,                 1.0035,                 1.0546,                0.95649,                0.93583,                0.98028,                0.73915,                0.93292,                 1.1258,                0.98488,               0.001447,               0.001447,               0.001447
                      6,                0.92715,                  1.038,                 1.0703,                0.97153,                0.93761,                0.98441,                0.72553,                0.99657,                0.98797,                 1.0256,               0.001447,               0.001447,               0.001447
                      7,                0.91992,                 0.9777,                 1.0554,                0.96719,                0.95365,                0.98641,                0.74988,                0.93133,                0.97608,                 1.0194,              0.0013919,              0.0013919,              0.0013919
                      8,                0.91677,                0.99214,                 1.0689,                0.97405,                0.93405,                0.98261,                0.74082,                0.95798,                0.95404,                 1.0557,              0.0013369,              0.0013369,              0.0013369
                      9,                0.90249,                0.88165,                 1.0521,                 0.9509,                0.96655,                0.98514,                 0.7474,                0.90905,                0.94671,                 0.9779,              0.0012819,              0.0012819,              0.0012819
                     10,                 0.8679,                0.82706,                 1.0345,                0.97616,                0.93583,                0.98319,                0.76392,                0.88373,                0.87631,                0.98891,              0.0012269,              0.0012269,              0.0012269
                     11,                0.86077,                0.86077,                  1.041,                0.95635,                0.96078,                0.98634,                0.76533,                0.88639,                0.88867,                 0.9728,              0.0011719,              0.0011719,              0.0011719
                     12,                0.82484,                 0.7737,                  1.001,                 0.9789,                  0.959,                0.98621,                0.75048,                 0.8939,                0.80935,                 0.9731,              0.0011169,              0.0011169,              0.0011169
                     13,                0.85147,                0.81357,                 1.0494,                0.97279,                  0.959,                0.98966,                0.76033,                0.88841,                0.79694,                0.96346,              0.0010619,              0.0010619,              0.0010619
                     14,                0.84288,                0.76906,                 1.0348,                0.98006,                0.96389,                0.98906,                0.76452,                0.87981,                0.77362,                0.97568,              0.0010069,              0.0010069,              0.0010069
                     15,                0.81994,                 0.7159,                 1.0051,                0.97148,                0.97145,                0.98635,                0.77082,                0.87535,                0.73886,                0.95592,             0.00095186,             0.00095186,             0.00095186
                     16,                0.80701,                0.71765,                 1.0128,                 0.9696,                0.96643,                0.98677,                0.76138,                0.89523,                0.74223,                0.97519,             0.00089685,             0.00089685,             0.00089685
                     17,                0.83594,                0.69016,                 1.0113,                0.96502,                0.98346,                0.99014,                0.76014,                 0.8716,                0.71632,                0.97402,             0.00084184,             0.00084184,             0.00084184
                     18,                 0.8032,                0.71337,                 1.0142,                0.97352,                0.97504,                0.98961,                0.77179,                0.86303,                0.72337,                0.95682,             0.00078682,             0.00078682,             0.00078682
                     19,                0.79155,                0.64392,                0.99788,                 0.9808,                  0.959,                0.99075,                0.76424,                0.86109,                0.69119,                0.96277,             0.00073181,             0.00073181,             0.00073181
                     20,                 0.7991,                0.67542,                   1.01,                0.96182,                0.97861,                 0.9907,                0.76714,                0.85499,                0.70628,                0.96524,              0.0006768,              0.0006768,              0.0006768
                     21,                0.82169,                0.85741,                0.97414,                0.97629,                0.95422,                0.98685,                0.76526,                 0.8726,                0.76507,                0.96718,             0.00062179,             0.00062179,             0.00062179
                     22,                0.81825,                0.80637,                0.97367,                0.98358,                0.96113,                 0.9909,                0.77127,                0.84398,                0.68935,                0.96713,             0.00056678,             0.00056678,             0.00056678
                     23,                0.79528,                0.72617,                0.97696,                0.96804,                0.96613,                0.99076,                 0.7706,                0.84964,                0.66599,                0.94764,             0.00051177,             0.00051177,             0.00051177
                     24,                 0.7789,                0.81104,                0.94373,                0.97836,                0.96698,                0.99157,                0.78152,                0.83739,                0.67118,                0.94659,             0.00045676,             0.00045676,             0.00045676
                     25,                0.78666,                0.71874,                0.96452,                0.96625,                0.96961,                0.99054,                0.78223,                  0.829,                0.64196,                0.94547,             0.00040175,             0.00040175,             0.00040175
                     26,                0.75887,                 0.6835,                0.94033,                0.97314,                0.96867,                0.98964,                0.78401,                0.82819,                0.62818,                 0.9485,             0.00034674,             0.00034674,             0.00034674
                     27,                0.75762,                0.69902,                0.95737,                0.98349,                0.95578,                0.99029,                0.78235,                0.82048,                0.62062,                0.94553,             0.00029172,             0.00029172,             0.00029172
                     28,                0.75014,                0.63626,                0.95273,                0.96643,                0.97491,                0.99113,                0.78047,                 0.8195,                0.60841,                0.94026,             0.00023671,             0.00023671,             0.00023671
                     29,                0.74751,                0.68274,                0.93762,                0.96419,                0.97326,                0.99119,                0.78685,                0.81061,                0.59588,                0.93798,              0.0001817,              0.0001817,              0.0001817
                     30,                0.73854,                0.64942,                0.94112,                 0.9715,                0.97215,                0.98983,                0.78487,                 0.8096,                0.58323,                0.94047,             0.00012669,             0.00012669,             0.00012669
